account,date,closed_pnl,size_usd,trade_count,classification,loss_flag,next_day_pnl,profit_bucket
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-04-16,912.29492,3846.1415384615384,39,Fear,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-04-17,0.0,1979.1661458333335,96,Fear,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-04-18,0.0,3541.02152173913,46,Fear,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-04-19,0.0,3511.545208333333,96,Fear,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-04-21,0.0,2652.518888888889,18,Fear,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-04-22,0.0,3515.344081632653,49,Neutral,0,-358963.139984,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-04-23,-358963.139984,2010.350297906602,1242,Greed,1,398.646746,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-04-24,398.646746,1319.3956896551724,58,Greed,0,-1335.115406,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-04-25,-1335.115406,1526.0666666666666,39,Greed,1,-3925.864943,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-04-26,-3925.864943,2147.34125,16,Greed,1,-99.444041,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-04-27,-99.444041,768.4525,12,Greed,1,,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-11-29,0.0,668.3,3,Extreme Greed,0,0.0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-12-01,0.0,999.5866666666667,3,Extreme Greed,0,0.0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-12-02,0.0,340.65333333333336,6,Extreme Greed,0,33.26141600000001,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-12-04,33.26141600000001,669.609,10,Extreme Greed,0,0.0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-12-05,0.0,294.265,2,Extreme Greed,0,0.0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-12-06,0.0,292.11,1,Greed,0,0.0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-12-07,0.0,1021.2966666666667,3,Extreme Greed,0,-21.54374,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-12-08,-21.54374,984.758,5,Extreme Greed,1,0.0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-12-09,0.0,440.95,4,Extreme Greed,0,0.0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-12-10,0.0,587.97,1,Extreme Greed,0,0.0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-12-13,0.0,128.88333333333333,3,Extreme Greed,0,0.0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-12-15,0.0,739.626,5,Extreme Greed,0,0.0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-12-19,0.0,1399.11,1,Extreme Greed,0,0.0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-12-22,0.0,2815.79,1,Greed,0,0.0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-12-23,0.0,2855.656666666667,6,Greed,0,0.0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-12-26,0.0,1914.0,2,Extreme Greed,0,0.0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-01-01,0.0,200.802,5,Greed,0,0.0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-01-04,0.0,710.865,2,Greed,0,0.0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-01-05,0.0,456.83,1,Greed,0,0.0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-01-09,0.0,1509.6399999999999,4,Greed,0,0.0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-01-18,0.0,2950.0099999999998,7,Extreme Greed,0,0.0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-01-25,0.0,3223.1059999999998,25,Extreme Greed,0,38294.693499,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-01-26,38294.693499,7578.344634146341,123,Greed,0,0.0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-01-27,0.0,4443.99,2,Greed,0,0.0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-02,0.0,1943.7873684210526,19,Greed,0,0.0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-03,0.0,2351.285,8,Fear,0,9167.620989,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-04,9167.620989,58124.15365384616,104,Greed,0,1843.301845,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-05,1843.301845,2347.8439143730884,327,Neutral,0,71.77363,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-06,71.77363,1881.207604790419,167,Neutral,0,1259.5314,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-09,1259.5314,6879.689611650486,103,Neutral,0,0.0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-10,0.0,1089.435,10,Fear,0,109.90750199999998,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-11,109.90750199999998,2385.7656398104264,211,Neutral,0,2760.439779,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-12,2760.439779,12390.793456790123,81,Neutral,0,1998.702085,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-13,1998.702085,2039.3888095238096,42,Neutral,0,27.247837999999998,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-14,27.247837999999998,445.2165,40,Neutral,0,559.647247,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-16,559.647247,1368.858375,80,Neutral,0,64.346683,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-17,64.346683,1112.2542857142857,105,Neutral,0,3981.044269,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-18,3981.044269,1466.1342937853108,177,Neutral,0,8995.13393,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-21,8995.13393,15859.55,8,Greed,0,0.0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-23,0.0,472.709,40,Neutral,0,0.0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-24,0.0,1894.8688636363636,44,Neutral,0,0.0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-25,0.0,3685.7825,4,Fear,0,0.0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-03-26,0.0,1134.46,1,Neutral,0,-4968.487948,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-04-07,-4968.487948,7609.877692307693,26,Extreme Fear,1,142.99159,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-04-08,142.99159,3984.7504347826084,23,Extreme Fear,0,0.0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-04-11,0.0,6864.066666666667,3,Fear,0,202.27562,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-04-12,202.27562,2599.29625,8,Fear,0,56.13971,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-04-19,56.13971,665.6886363636363,22,Fear,0,284.16768,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-04-22,284.16768,66188.125,2,Neutral,0,0.0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-04-23,0.0,17801.63,4,Greed,0,505.40523,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-04-26,505.40523,23903.97666666667,3,Greed,0,33.061386999999996,1
